BLOCK1,BLOCK2,DISTANCE,LENGTH
70,131,157.906,0.000
70,155,88.359,0.000
71,130,44.214,0.000
71,176,121.988,0.000
72,107,179.974,0.000
72,118,0.000,52.040
72,126,119.593,0.000
72,141,0.000,121.877
72,145,95.427,0.000
72,150,186.449,0.000
72,172,0.000,291.867
72,187,158.286,0.000
72,203,65.521,0.000
72,209,0.000,410.088
72,216,146.092,0.000
73,76,0.000,354.952
73,83,170.997,0.000
73,153,68.656,0.000
74,120,0.000,95.271
74,152,0.000,272.980
74,189,172.176,0.000
75,82,0.000,1073.482
75,115,132.186,0.000
75,174,0.000,533.909
76,83,149.072,0.000
76,153,0.000,435.854
77,90,33.619,0.000
77,184,108.701,0.000
77,192,0.000,685.908
77,217,67.894,0.000
78,109,72.060,0.000
78,110,0.000,83.441
78,135,0.000,166.724
78,162,0.000,297.139
78,202,0.000,212.103
78,213,109.513,0.000
79,159,0.000,493.834
79,176,131.947,0.000
79,197,0.000,61.827
80,89,32.283,0.000
80,111,0.000,641.196
80,122,0.000,27.684
80,125,191.219,0.000
80,132,127.530,0.000
80,154,121.714,0.000
80,173,179.002,0.000
81,89,0.000,71.219
81,111,180.568,0.000
81,113,0.000,240.654
81,206,0.000,180.657
82,115,0.000,1053.450
82,174,37.238,0.000
82,194,144.793,0.000
83,153,0.000,117.085
84,87,0.000,184.743
84,121,0.000,179.126
84,128,0.000,0.000
84,133,106.833,0.000
84,178,0.000,91.810
84,207,0.000,330.735
85,109,122.806,0.000
86,129,0.000,374.799
86,206,0.000,156.932
87,121,184.480,0.000
87,163,54.253,0.000
87,178,168.418,0.000
87,192,101.905,0.000
87,204,0.000,537.660
87,207,0.000,575.811
87,217,153.103,0.000
88,104,0.000,118.279
88,160,0.000,44.577
89,111,0.000,419.014
89,113,139.966,0.000
89,125,78.394,0.000
89,129,178.816,0.000
89,154,87.133,0.000
89,173,37.818,0.000
89,206,0.000,229.217
90,169,72.553,0.000
90,184,62.855,0.000
90,192,0.000,1293.217
90,204,122.596,0.000
90,207,135.933,0.000
90,217,96.873,0.000
91,96,96.387,0.000
91,139,0.000,440.260
91,151,33.973,0.000
91,188,0.000,574.547
91,191,0.000,116.506
91,198,71.601,0.000
92,161,135.401,0.000
92,170,66.702,0.000
93,106,0.000,456.720
94,124,0.000,514.937
94,156,0.000,332.590
94,157,0.000,39.060
95,105,117.304,0.000
95,120,0.000,403.489
95,181,78.028,0.000
96,138,0.000,117.909
96,139,146.082,0.000
96,151,165.193,0.000
96,166,138.570,0.000
96,183,0.000,717.920
96,188,0.000,600.609
97,114,0.000,112.754
97,119,103.841,0.000
97,149,122.592,0.000
97,167,120.944,0.000
97,175,0.000,47.386
98,122,186.470,0.000
98,132,0.000,39.273
98,155,160.680,0.000
98,161,0.000,169.443
99,129,0.000,118.634
99,132,123.607,0.000
99,155,136.540,0.000
99,177,182.672,0.000
100,104,130.281,0.000
100,117,0.000,567.398
100,143,0.000,55.082
100,156,21.894,0.000
100,158,0.000,768.106
100,160,0.000,151.598
100,171,0.000,11.162
100,215,183.281,0.000
101,102,0.000,719.114
101,112,121.493,0.000
101,137,0.000,316.133
101,193,76.488,0.000
101,212,86.893,0.000
102,112,150.654,0.000
102,133,103.710,0.000
102,137,0.000,142.878
102,193,162.042,0.000
102,212,0.000,427.950
103,116,18.452,0.000
103,164,182.164,0.000
103,205,23.733,0.000
104,117,0.000,0.000
104,160,0.000,484.027
105,146,46.602,0.000
106,201,106.185,0.000
107,118,0.000,93.720
107,145,68.894,0.000
107,168,0.000,31.674
107,172,96.432,0.000
107,177,192.648,0.000
108,127,0.000,424.015
108,166,0.000,342.395
108,183,52.654,0.000
109,110,28.661,0.000
109,162,90.417,0.000
109,169,0.000,33.299
109,184,0.000,544.203
109,192,0.000,255.242
